Screen-Size,RAM,Price,Brand,Processor,GPU,GPU-Type,Resolution,Condition
14.0,32,299.99,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1024 x 768,Excellent - Refurbished
15.6,8,400.0,HP,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,New
15.6,8,599.99,Samsung,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,429.95,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,8,269.95,Lenovo,Intel Core i5 8th Gen.,AMD Radeon 540X,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
13.3,8,319.99,Dell,Intel Core i5 8th Gen.,Intel HD Graphics 620,Integrated Graphics,1920 x 1080,Open box
14.0,16,509.99,Lenovo,Intel Core i7 11th Gen.,NVIDIA Quadro T500,Dedicated Graphics,1920 x 1080,Open box
15.6,16,328.0,Dell,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,289.99,Lenovo,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
13.3,8,699.89,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1080,New
13.9,8,101.0,Lenovo,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Open box
15.6,32,499.99,Dell,Intel Core i7 9th Gen.,NVIDIA Quadro P620,Dedicated Graphics,1920 x 1080,Excellent - Refurbished
15.6,16,499.99,HP,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1080,Open box
14.0,8,349.99,HP,Intel Core i7 10th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Open box
15.6,4,319.0,Acer,Intel Core i3 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,New
16.0,8,422.1,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
